scenario_id,protocol,n_drones,status,packets_generated,packets_delivered,pdr_pct,avg_e2e_delay_ms,routing_load,avg_throughput_kbps,avg_hop_count,collisions,avg_mac_delay_ms,control_packets_sent,any_drone_slept,min_final_residual_energy_j,avg_final_residual_energy_j,wall_clock_seconds,w1_generated,w1_delivered,w1_pdr_pct,w1_avg_e2e_delay_ms,w1_avg_throughput_kbps,w1_avg_hop_count,w1_collisions,w1_control_packets_sent,w1_routing_load,w1_avg_mac_delay_ms,w2_generated,w2_delivered,w2_pdr_pct,w2_avg_e2e_delay_ms,w2_avg_throughput_kbps,w2_avg_hop_count,w2_collisions,w2_control_packets_sent,w2_routing_load,w2_avg_mac_delay_ms,w3_generated,w3_delivered,w3_pdr_pct,w3_avg_e2e_delay_ms,w3_avg_throughput_kbps,w3_avg_hop_count,w3_collisions,w3_control_packets_sent,w3_routing_load,w3_avg_mac_delay_ms,w4_generated,w4_delivered,w4_pdr_pct,w4_avg_e2e_delay_ms,w4_avg_throughput_kbps,w4_avg_hop_count,w4_collisions,w4_control_packets_sent,w4_routing_load,w4_avg_mac_delay_ms
A_n10_dsdv,DSDV,10,ok,5863,1522,25.96,228.19,3.2,1164.05,1.57,1233,5.21,4878,False,67634.92,67635.02,842.7,1447,1108,76.57,18.23,1175.9,1.52,88,770,0.69,5.23,1453,414,28.49,790.11,1132.36,1.69,275,1278,3.09,5.18,1446,0,0.0,,,,470,1382,,,1517,0,0.0,,,,400,1448,,
A_n10_greedy,Greedy,10,ok,5863,3981,67.9,468.71,0.6,1049.85,1.64,213,28.66,2400,False,67634.61,67634.75,1162.7,1447,1103,76.23,17.96,1236.95,1.42,28,600,0.54,9.42,1453,874,60.15,812.98,978.23,1.77,61,600,0.69,6.94,1446,755,52.21,9.22,1250.01,1.41,40,600,0.79,12.48,1517,1249,82.33,903.61,813.75,1.88,84,600,0.48,69.81
A_n10_qgeo,QGeo,10,ok,5863,2497,42.59,912.9,0.96,273.78,2.16,479,1153.16,2400,False,67633.0,67634.09,988.7,1447,1062,73.39,203.36,450.13,2.27,162,600,0.56,188.97,1453,455,31.31,1204.59,111.85,1.85,140,600,1.32,1686.1,1446,396,27.39,1241.26,180.62,2.05,105,600,1.52,1414.71,1517,584,38.5,1753.27,142.42,2.27,72,600,1.03,1166.75
A_n10_cr_qgeo,CR-QGeo,10,ok,5863,2864,48.85,1423.32,0.84,196.98,2.29,725,1170.81,2400,False,67633.56,67634.05,879.6,1447,1042,72.01,209.72,384.41,2.41,145,600,0.58,225.86,1453,566,38.95,2069.95,88.71,2.16,209,600,1.06,1413.12,1446,681,47.1,1906.92,99.13,2.1,181,600,0.88,1555.34,1517,575,37.9,2413.32,79.78,2.42,190,600,1.04,1328.64
A_n10_macg,MACG,10,ok,5863,3898,66.48,1062.78,0.94,446.26,1.97,719,734.02,3655,False,67633.59,67634.17,1265.2,1447,1079,74.57,47.81,879.52,1.59,94,922,0.85,226.46,1453,776,53.41,1588.61,192.2,2.14,201,911,1.17,886.58,1446,781,54.01,1613.42,183.63,1.72,294,911,1.17,1136.4,1517,1262,83.19,1266.48,394.57,2.35,130,911,0.72,445.81
A_n20_dsdv,DSDV,20,ok,11823,1249,10.56,71.34,17.86,765.8,1.96,47834,5.78,22308,False,67634.99,67635.06,1822.9,2885,843,29.22,98.77,644.94,1.9,10428,4981,5.91,7.2,2895,122,4.21,12.17,1052.21,1.91,13864,5754,47.16,3.1,3026,132,4.36,17.12,814.24,2.63,11222,5727,43.39,2.59,3017,152,5.04,13.81,1164.17,1.74,12320,5846,38.46,3.43
A_n20_greedy,Greedy,20,ok,11823,6510,55.06,372.68,0.74,599.47,1.91,2864,33.57,4800,False,67634.38,67634.74,2933.8,2885,2278,78.96,454.67,635.8,1.76,1290,1200,0.53,27.08,2895,1824,63.01,318.4,549.21,1.99,497,1200,0.66,33.55,3026,1293,42.73,488.93,540.58,2.03,658,1200,0.93,41.54,3017,1115,36.96,159.16,675.74,1.95,419,1200,1.08,32.49
A_n20_qgeo,QGeo,20,ok,11823,3104,26.25,4470.54,1.55,13.28,2.26,5566,280.4,4800,False,67634.22,67634.56,1734.3,2885,1003,34.77,4379.91,11.81,2.62,1984,1200,1.2,142.58,2895,746,25.77,4489.5,16.24,2.14,1423,1200,1.61,289.37,3026,607,20.06,4609.79,8.86,1.96,1328,1200,1.98,363.2,3017,748,24.79,4460.18,15.87,2.13,831,1200,1.6,328.95
A_n20_cr_qgeo,CR-QGeo,20,ok,11823,4194,35.47,4791.92,1.14,12.64,2.08,7788,172.75,4800,False,67634.41,67634.55,1601.7,2885,1050,36.4,4106.59,15.71,2.37,2023,1200,1.14,145.91,2895,1014,35.03,5003.48,11.31,1.98,2542,1200,1.18,160.5,3026,1028,33.97,5181.73,10.24,1.9,1777,1200,1.17,205.47,3017,1102,36.53,4886.62,13.18,2.06,1446,1200,1.09,179.63
A_n20_macg,MACG,20,ok,11823,4884,41.31,2470.98,1.66,151.68,1.88,4436,183.8,8090,False,67633.82,67634.58,2324.7,2885,1766,61.21,721.58,275.55,1.84,1514,2050,1.16,170.72,2895,1287,44.46,3554.91,64.11,1.9,1143,2185,1.7,148.91,3026,1037,34.27,3749.55,94.8,1.99,859,1919,1.85,51.84,3017,794,26.32,2935.11,92.39,1.79,920,1936,2.44,355.35
A_n50_dsdv,DSDV,50,ok,29879,1620,5.42,4059.34,59.63,18.94,1.35,593176,132.19,96606,False,67635.03,67635.07,7223.2,7568,1620,21.41,4059.34,18.94,1.35,153676,33270,20.54,132.19,7413,0,0.0,,,,147300,21108,,,7461,0,0.0,,,,145950,20776,,,7437,0,0.0,,,,146250,21452,,
A_n50_greedy,Greedy,50,ok,29879,5814,19.46,4819.13,2.06,15.04,1.41,38932,120.31,12000,False,67634.78,67634.91,4920.2,7568,1916,25.32,3093.99,29.99,1.43,11766,3000,1.57,140.43,7413,1246,16.81,5754.59,7.22,1.3,9461,3000,2.41,135.83,7461,1296,17.37,5736.67,5.99,1.41,9365,3000,2.31,113.7,7437,1356,18.23,5520.19,9.76,1.5,8340,3000,2.21,92.6
A_n50_qgeo,QGeo,50,ok,29879,1244,4.16,6962.88,9.65,2.1,1.21,59029,109.04,12000,False,67634.83,67634.91,4191.8,7568,218,2.88,6448.86,4.91,1.43,15420,3000,13.76,120.06,7413,305,4.11,7160.03,1.38,1.11,15372,3000,9.84,109.59,7461,349,4.68,6992.82,1.66,1.2,14744,3000,8.6,103.5,7437,372,5.0,7074.38,1.44,1.16,13493,3000,8.06,102.69
A_n50_cr_qgeo,CR-QGeo,50,ok,29879,1509,5.05,7063.19,7.95,2.53,1.16,64266,107.94,12000,False,67634.84,67634.91,4185.2,7568,239,3.16,6696.14,4.55,1.37,13790,3000,12.55,109.14,7413,347,4.68,7350.29,1.39,1.08,17154,3000,8.65,97.52,7461,470,6.3,7000.07,3.25,1.14,18462,3000,6.38,107.66,7437,453,6.09,7102.41,1.59,1.13,14860,3000,6.62,117.39
A_n50_macg,MACG,50,ok,29879,4128,13.82,5099.92,5.17,13.92,1.34,29076,142.23,21361,False,67634.51,67634.92,5835.4,7568,1886,24.92,4314.51,14.04,1.34,11790,6298,3.34,161.14,7413,860,11.6,6811.36,7.2,1.13,5706,5531,6.43,186.61,7461,752,10.08,5685.86,11.97,1.3,7914,4800,6.38,143.8,7437,630,8.47,4415.5,25.08,1.64,3666,4732,7.51,92.36
A_n100_dsdv,DSDV,100,ok,59597,971,1.63,4259.54,433.45,10.09,1.37,3479837,321.76,420883,False,67634.98,67635.03,29267.4,15007,971,6.47,4259.54,10.09,1.37,445537,93490,96.28,321.76,14817,0,0.0,,,,1119500,108824,,,14919,0,0.0,,,,891100,108884,,,14854,0,0.0,,,,1023700,109685,,
A_n100_greedy,Greedy,100,ok,59597,1854,3.11,6871.61,12.94,3.75,1.17,146022,254.46,24000,False,67634.96,67635.03,10314.0,15007,879,5.86,4241.85,6.84,1.36,40564,6000,6.83,294.14,14817,346,2.34,9373.47,0.94,1.0,32749,6000,17.34,259.02,14919,303,2.03,9157.49,0.97,1.0,37480,6000,19.8,237.05,14854,326,2.19,9182.31,0.97,1.0,35229,6000,18.4,228.06
A_n100_qgeo,QGeo,100,ok,59597,399,0.67,9444.48,60.15,1.7,1.03,190565,205.76,24000,False,67634.98,67635.03,9875.3,15007,93,0.62,7591.45,4.44,1.12,55895,6000,64.52,159.91,14817,93,0.63,9976.85,0.87,1.0,41453,6000,64.52,220.66,14919,109,0.73,9988.08,0.87,1.0,48447,6000,55.05,232.56,14854,104,0.7,10055.73,0.87,1.01,44770,6000,57.69,211.17
A_n100_cr_qgeo,CR-QGeo,100,ok,59597,417,0.7,9448.17,57.55,1.67,1.03,183842,210.14,24000,False,67634.98,67635.03,9878.6,15007,87,0.58,7506.53,4.68,1.13,50795,6000,68.97,162.59,14817,104,0.7,9982.1,0.87,1.0,39021,6000,57.69,244.49,14919,105,0.7,9866.32,0.88,1.0,49483,6000,57.14,239.31,14854,121,0.81,10022.46,0.87,1.0,44543,6000,49.59,195.07
A_n100_macg,MACG,100,ok,59597,6181,10.37,8702.19,6.45,1.74,1.07,184911,243.73,39858,False,67634.95,67635.04,10732.2,15007,1962,13.07,6527.01,3.54,1.21,46392,9900,5.05,291.56,14817,1513,10.21,9746.68,0.89,1.0,47187,10000,6.61,231.75,14919,1254,8.41,9615.99,0.91,1.0,45188,10000,7.97,259.49,14854,1452,9.78,9763.84,0.89,1.0,46144,9958,6.86,193.53
