scenario_id,protocol,speed,status,packets_generated,packets_delivered,pdr_pct,avg_e2e_delay_ms,routing_load,avg_throughput_kbps,avg_hop_count,collisions,avg_mac_delay_ms,control_packets_sent,any_drone_slept,min_final_residual_energy_j,avg_final_residual_energy_j,wall_clock_seconds,w1_generated,w1_delivered,w1_pdr_pct,w1_avg_e2e_delay_ms,w1_avg_throughput_kbps,w1_avg_hop_count,w1_collisions,w1_control_packets_sent,w1_routing_load,w1_avg_mac_delay_ms,w2_generated,w2_delivered,w2_pdr_pct,w2_avg_e2e_delay_ms,w2_avg_throughput_kbps,w2_avg_hop_count,w2_collisions,w2_control_packets_sent,w2_routing_load,w2_avg_mac_delay_ms,w3_generated,w3_delivered,w3_pdr_pct,w3_avg_e2e_delay_ms,w3_avg_throughput_kbps,w3_avg_hop_count,w3_collisions,w3_control_packets_sent,w3_routing_load,w3_avg_mac_delay_ms,w4_generated,w4_delivered,w4_pdr_pct,w4_avg_e2e_delay_ms,w4_avg_throughput_kbps,w4_avg_hop_count,w4_collisions,w4_control_packets_sent,w4_routing_load,w4_avg_mac_delay_ms
B_v10_dsdv,DSDV,10.0,ok,5863,1522,25.96,228.19,3.2,1164.05,1.57,1233,5.21,4878,False,4867634.92,4867635.02,1240.0,1447,1108,76.57,18.23,1175.9,1.52,88,770,0.69,5.23,1453,414,28.49,790.11,1132.36,1.69,275,1278,3.09,5.18,1446,0,0.0,,,,470,1382,,,1517,0,0.0,,,,400,1448,,
B_v10_greedy,Greedy,10.0,ok,5863,3981,67.9,468.71,0.6,1049.85,1.64,213,28.66,2400,False,4867634.61,4867634.75,1647.0,1447,1103,76.23,17.96,1236.95,1.42,28,600,0.54,9.42,1453,874,60.15,812.98,978.23,1.77,61,600,0.69,6.94,1446,755,52.21,9.22,1250.01,1.41,40,600,0.79,12.48,1517,1249,82.33,903.61,813.75,1.88,84,600,0.48,69.81
B_v10_qgeo,QGeo,10.0,ok,5863,2497,42.59,912.9,0.96,273.78,2.16,479,1153.16,2400,False,4867633.0,4867634.09,1418.0,1447,1062,73.39,203.36,450.13,2.27,162,600,0.56,188.97,1453,455,31.31,1204.59,111.85,1.85,140,600,1.32,1686.1,1446,396,27.39,1241.26,180.62,2.05,105,600,1.52,1414.71,1517,584,38.5,1753.27,142.42,2.27,72,600,1.03,1166.75
B_v10_cr_qgeo,CR-QGeo,10.0,ok,5863,2864,48.85,1423.32,0.84,196.98,2.29,725,1170.81,2400,False,4867633.56,4867634.05,1281.4,1447,1042,72.01,209.72,384.41,2.41,145,600,0.58,225.86,1453,566,38.95,2069.95,88.71,2.16,209,600,1.06,1413.12,1446,681,47.1,1906.92,99.13,2.1,181,600,0.88,1555.34,1517,575,37.9,2413.32,79.78,2.42,190,600,1.04,1328.64
B_v10_macg,MACG,10.0,ok,5863,3429,58.49,900.91,1.07,477.66,1.79,741,857.28,3678,False,4867633.42,4867634.16,1465.9,1447,1098,75.88,46.63,918.22,1.63,84,921,0.84,179.78,1453,753,51.82,1762.49,214.43,1.95,171,937,1.24,1007.32,1446,707,48.89,1387.68,135.67,1.54,277,910,1.29,1152.12,1517,871,57.42,837.87,427.44,2.06,209,910,1.04,805.98
B_v20_dsdv,DSDV,20.0,ok,5863,613,10.46,325.73,11.59,1064.86,1.71,2564,4.5,7105,False,4889233.76,4889233.78,995.2,1447,612,42.29,326.24,1065.63,1.7,404,1594,2.6,4.5,1453,1,0.07,14.66,590.41,3.0,560,1596,1596.0,1.59,1446,0,0.0,,,,700,1650,,,1517,0,0.0,,,,900,2265,,
B_v20_greedy,Greedy,20.0,ok,5863,4531,77.28,715.97,0.53,919.2,1.75,281,46.92,2400,False,4889233.32,4889233.41,1793.1,1447,972,67.17,447.86,1057.37,1.63,60,600,0.62,14.05,1453,1018,70.06,1139.36,792.39,1.91,39,600,0.59,115.45,1446,1222,84.51,711.28,814.17,1.88,139,600,0.49,31.58,1517,1319,86.95,591.14,1012.56,1.58,43,600,0.45,13.34
B_v20_qgeo,QGeo,20.0,ok,5863,2042,34.83,1778.59,1.18,191.71,2.52,512,960.84,2400,False,4889232.19,4889232.75,1297.8,1447,660,45.61,259.53,425.42,2.51,148,600,0.91,404.6,1453,461,31.73,2961.12,69.36,2.72,143,600,1.3,1398.56,1446,519,35.89,2760.07,63.97,2.34,162,600,1.16,1387.97,1517,402,26.5,1649.33,113.26,2.52,59,600,1.49,565.08
B_v20_cr_qgeo,CR-QGeo,20.0,ok,5863,1621,27.65,1396.78,1.48,147.94,2.38,466,989.28,2400,False,4889232.22,4889232.82,1517.7,1447,719,49.69,568.95,170.77,2.62,247,600,0.83,565.74,1453,504,34.69,2416.85,88.16,2.19,126,600,1.19,1013.74,1446,160,11.07,1130.59,163.6,1.64,67,600,3.75,1103.48,1517,238,15.69,1916.45,195.06,2.54,26,600,2.52,1382.57
B_v20_macg,MACG,20.0,ok,5863,1366,23.3,705.24,2.67,587.96,1.63,182,584.35,3651,False,4889232.07,4889233.01,1518.7,1447,651,44.99,244.43,757.38,1.58,126,940,1.44,497.52,1453,304,20.92,1289.73,403.68,1.64,24,911,3.0,953.92,1446,257,17.77,1129.57,392.71,1.68,26,902,3.51,505.48,1517,154,10.15,791.29,561.42,1.79,6,898,5.83,237.5
B_v30_dsdv,DSDV,30.0,ok,5863,680,11.6,468.29,6.46,1031.11,1.65,1492,8.6,4392,False,4883416.48,4883416.53,1036.6,1447,609,42.09,245.95,1081.95,1.59,252,1018,1.67,9.03,1453,71,4.89,2375.46,595.03,2.18,280,977,13.76,5.01,1446,0,0.0,,,,530,1123,,,1517,0,0.0,,,,430,1274,,
B_v30_greedy,Greedy,30.0,ok,5863,3896,66.45,945.85,0.62,927.32,1.72,244,111.01,2400,False,4883416.01,4883416.18,1687.4,1447,820,56.67,163.1,1138.75,1.55,124,600,0.73,35.96,1453,1157,79.63,1351.84,817.5,1.87,36,600,0.52,92.38,1446,909,62.86,542.84,1028.32,1.55,28,600,0.66,85.65,1517,1010,66.58,1478.98,790.58,1.83,56,600,0.59,202.94
B_v30_qgeo,QGeo,30.0,ok,5863,862,14.7,822.27,2.78,319.4,2.24,114,660.31,2400,False,4883414.3,4883415.7,1329.4,1447,430,29.72,508.03,365.06,2.78,51,600,1.4,476.7,1453,194,13.35,1038.62,162.38,1.98,20,600,3.09,1063.0,1446,157,10.86,1066.57,404.82,1.59,20,600,3.82,446.02,1517,81,5.34,1498.71,287.52,1.31,23,600,7.41,592.41
B_v30_cr_qgeo,CR-QGeo,30.0,ok,5863,1546,26.37,1493.36,1.55,181.3,2.42,260,1253.46,2400,False,4883414.55,4883415.52,1242.1,1447,532,36.77,481.9,288.83,2.62,88,600,1.13,555.76,1453,490,33.72,2119.78,111.89,2.74,65,600,1.22,1042.91,1446,336,23.24,1800.8,153.78,1.68,30,600,1.79,1511.38,1517,188,12.39,2173.4,107.13,2.37,77,600,3.19,1843.5
B_v30_macg,MACG,30.0,ok,5863,2277,38.84,579.84,1.61,656.43,1.7,366,275.16,3672,False,4883415.21,4883415.77,1759.3,1447,722,49.9,333.81,719.88,1.66,138,943,1.31,338.4,1453,681,46.87,1197.15,513.83,1.92,111,910,1.34,339.88,1446,583,40.32,328.54,749.07,1.66,48,918,1.57,54.69,1517,291,19.18,249.06,647.09,1.37,69,901,3.1,337.97
B_v40_dsdv,DSDV,40.0,ok,5863,500,8.53,392.06,11.41,1055.16,1.63,2052,7.23,5704,False,4856291.98,4856292.02,959.5,1447,500,34.55,392.06,1055.16,1.63,262,1091,2.18,7.23,1453,0,0.0,,,,600,1578,,,1446,0,0.0,,,,720,1601,,,1517,0,0.0,,,,470,1434,,
B_v40_greedy,Greedy,40.0,ok,5863,2578,43.97,642.03,0.93,1013.39,1.66,175,103.3,2400,False,4856291.55,4856291.74,1597.1,1447,782,54.04,541.79,1068.18,1.57,106,600,0.77,75.53,1453,721,49.62,576.75,897.91,1.78,24,600,0.83,133.78,1446,735,50.83,931.88,971.45,1.76,23,600,0.82,92.02,1517,340,22.41,384.39,1222.91,1.4,22,600,1.76,111.42
B_v40_qgeo,QGeo,40.0,ok,5863,1201,20.48,1366.06,2.0,229.79,2.43,301,772.68,2400,False,4856289.77,4856291.09,1472.8,1447,660,45.61,1128.19,235.63,2.58,209,600,0.91,523.54,1453,299,20.58,2144.99,132.22,2.63,38,600,2.01,1021.49,1446,146,10.1,814.45,359.75,1.45,50,600,4.11,947.5,1517,96,6.33,1414.31,295.86,2.22,4,600,6.25,573.7
B_v40_cr_qgeo,CR-QGeo,40.0,ok,5863,1555,26.52,1967.79,1.54,136.11,2.57,366,1065.65,2400,False,4856290.18,4856290.99,1308.2,1447,572,39.53,660.95,256.99,2.51,122,600,1.05,504.49,1453,413,28.42,3324.87,33.75,2.84,135,600,1.45,985.97,1446,321,22.2,2244.66,63.72,2.47,88,600,1.87,1685.56,1517,249,16.41,2362.01,121.53,2.38,21,600,2.41,1058.68
B_v40_macg,MACG,40.0,ok,5863,2403,40.99,893.49,1.54,610.78,1.86,307,330.04,3707,False,4856290.46,4856291.25,1495.9,1447,723,49.97,236.49,786.81,1.56,176,954,1.32,346.08,1453,684,47.08,1290.44,500.81,1.89,45,924,1.35,148.77,1446,565,39.07,1213.13,577.37,2.07,64,916,1.62,428.78,1517,431,28.41,946.65,533.81,2.05,22,913,2.12,380.36
